cell_type,gene,count
CD56bright-liver,ABCB1,2367
CD56bright-liver,ABL1,329
CD56bright-liver,ADA,375
CD56bright-liver,AHR,533
CD56bright-liver,AIRE,13
CD56bright-liver,APP,104
CD56bright-liver,ARHGDIB,4046
CD56bright-liver,ATG16L1,529
CD56bright-liver,ATM,25
CD56bright-liver,BATF,71
CD56bright-liver,BATF3,4
CD56bright-liver,BCL2,138
CD56bright-liver,BCL3,433
CD56bright-liver,BCL6,1438
CD56bright-liver,BID,154
CD56bright-liver,BLNK,4
CD56bright-liver,BST1,8
CD56bright-liver,BST2,1413
CD56bright-liver,BTK,4
CD56bright-liver,C1QA,4
CD56bright-liver,C1QB,4
CD56bright-liver,C1QBP,346
CD56bright-liver,C1R,58
CD56bright-liver,C1S,13
CD56bright-liver,C2,4
CD56bright-liver,C3,13
CD56bright-liver,C4A,38
CD56bright-liver,C4B,29
CD56bright-liver,C5,13
CD56bright-liver,C7,13
CD56bright-liver,C8G,25
CD56bright-liver,C9,4
CD56bright-liver,CAMP,4
CD56bright-liver,CARD9,8
CD56bright-liver,CASP1,229
CD56bright-liver,CASP10,21
CD56bright-liver,CASP2,525
CD56bright-liver,CASP3,546
CD56bright-liver,CASP8,1429
CD56bright-liver,CCBP2,25
CD56bright-liver,CCL13,13
CD56bright-liver,CCL16,8
CD56bright-liver,CCL18,4
CD56bright-liver,CCL19,4
CD56bright-liver,CCL2,17
CD56bright-liver,CCL20,4
CD56bright-liver,CCL22,104
CD56bright-liver,CCL23,13
CD56bright-liver,CCL24,17
CD56bright-liver,CCL26,4
CD56bright-liver,CCL3,2646
CD56bright-liver,CCL4,6796
CD56bright-liver,CCL5,5354
CD56bright-liver,CCL7,4
CD56bright-liver,CCL8,8
CD56bright-liver,CCR10,17
CD56bright-liver,CCR5,267
CD56bright-liver,CCR6,21
CD56bright-liver,CCR7,54
CD56bright-liver,CCR8,8
CD56bright-liver,CCRL2,4
CD56bright-liver,CD14,17
CD56bright-liver,CD19,4
CD56bright-liver,CD209,8
CD56bright-liver,CD22,17
CD56bright-liver,CD24,158
CD56bright-liver,CD244,867
CD56bright-liver,CD247,4975
CD56bright-liver,CD27,400
CD56bright-liver,CD274,33
CD56bright-liver,CD28,138
CD56bright-liver,CD36,8
CD56bright-liver,CD3D,213
CD56bright-liver,CD3E,2088
CD56bright-liver,CD3EAP,50
CD56bright-liver,CD4,4
CD56bright-liver,CD40,29
CD56bright-liver,CD40LG,21
CD56bright-liver,CD44,1021
CD56bright-liver,CD46,1217
CD56bright-liver,CD5,54
CD56bright-liver,CD53,1104
CD56bright-liver,CD55,29
CD56bright-liver,CD58,629
CD56bright-liver,CD59,417
CD56bright-liver,CD6,383
CD56bright-liver,CD7,3038
CD56bright-liver,CD74,3654
CD56bright-liver,CD79A,8
CD56bright-liver,CD80,8
CD56bright-liver,CD81,2934
CD56bright-liver,CD82,67
CD56bright-liver,CD83,208
CD56bright-liver,CD86,4
CD56bright-liver,CD8A,438
CD56bright-liver,CD8B,17
CD56bright-liver,CD9,46
CD56bright-liver,CD96,4154
CD56bright-liver,CD97,3321
CD56bright-liver,CDH5,4
CD56bright-liver,CDKN1A,75
CD56bright-liver,CEACAM1,4
CD56bright-liver,CEBPB,158
CD56bright-liver,CFB,4
CD56bright-liver,CFD,4
CD56bright-liver,CFH,17
CD56bright-liver,CFP,4
CD56bright-liver,CIITA,29
CD56bright-liver,CISH,17
CD56bright-liver,CLEC4A,42
CD56bright-liver,CLEC4E,8
CD56bright-liver,CLEC5A,17
CD56bright-liver,CLU,13
CD56bright-liver,CMKLR1,4
CD56bright-liver,CR1,4
CD56bright-liver,CR2,8
CD56bright-liver,CRADD,117
CD56bright-liver,CSF1,33
CD56bright-liver,CSF1R,4
CD56bright-liver,CSF2,25
CD56bright-liver,CSF2RB,8
