Cell_type_in_merged_data,reclustered.fine,reclustered.broad,nCount_RNA,percent.mito,Cell_type_in_each_tissue
T Cell GZMK,TEM_INFG,CD8,2369,0.048543689,CD8 T Cell TRBV4-2_high Liver
NK/T Cell GNLY,NA,NA,1709,0.03978935,NK/T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1446,0.096127248,Macrophage C1QB_high Liver
Monocyte,Mac_SDC3,Myeloid,3542,0.075945793,Macrophage C1QB_high Liver
T Cell GZMK,TEM_GZMK,CD8,1715,0.067055394,CD8 T Cell GZMK_high Liver
T Cell GZMK,NA,NA,1801,0.044975014,T GD Cell Liver
T Cell IL7R,TCM_STMN1,CD4,1955,0.046035806,T Cell LTB_high Liver
Monocyte,Mac_SDC3,Myeloid,7607,0.061259366,Macrophage LST1_high Liver
B Cell CD79A,Plasma_IGLC2,B_and_plasma,1060,0.067924528,B Cell Liver
Endothelial Cell ACKR1,BEC_TIMP1,Endothelial_cell,1674,0.136798088,Endothelial Cell SELE_high Liver
NK/T Cell GNLY,NA,NA,1704,0.062793427,NK/T Cell Liver
T Cell GZMK,NA,NA,1911,0.075353218,T GD Cell Liver
T Cell GZMK,NA,NA,2182,0.066911091,T GD Cell Liver
T Cell XCL1,TEM_INFG,CD8,1371,0.04595186,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1849,0.098972418,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4200,0.067142857,Macrophage C1QB_high Liver
T Cell GZMK,NA,NA,2589,0.042873696,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,1702,0.043478261,CD8 T Cell TRBV4-2_high Liver
Smooth Muscle Cell,Smo_MYH11_high,FibSmo,2539,0.076014179,Smooth Muscle Cell Liver
T Cell IL7R,TRM_TNF,CD4,3071,0.052100293,T Cell LTB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1973,0.089204257,Monocyte Liver
NK/T Cell GNLY,NA,NA,1736,0.069124424,NK/T Cell Liver
T Cell GZMK,NA,NA,5569,0.053151374,High Proliferation CD8 T Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,6624,0.073218599,Macrophage LST1_high Liver
NK/T Cell GNLY,NA,NA,2649,0.057757644,NK/T Cell Liver
Monocyte,Classical_Mon_S100A8,Myeloid,3880,0.105154639,Macrophage LST1_high Liver
T Cell IL7R,TN_LINC00861,CD4,2094,0.039637058,T Cell LTB_high Liver
B Cell CD79A,Plasma_IGKV3-20,B_and_plasma,1180,0.072033898,B Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2426,0.086974444,Monocyte Liver
NK/T Cell GNLY,Th1_NKG7,CD4,2086,0.071907958,NK/T Cell Liver
