identity,ACTB,IFITM3,CD4,IFNG,B2M,umap_1,umap_2
CD14 Mono,31,0,0,0,95,-7.208192911978781,-6.0699372846671515
CD14 Mono,21,1,0,0,62,-8.750975218649923,-8.43371253796305
CD14 Mono,58,0,0,0,80,-7.964685526724875,-7.177385385710853
pDC,6,0,0,0,47,-1.493403640624106,-1.5392073947974616
CD4 Memory T,3,0,0,0,38,5.923499020699442,-3.09083562679972
CD14 Mono,13,1,0,0,38,-5.6269517811499234,-9.444442327696937
T activated,11,0,0,0,55,0.32181111252683403,-3.6641779501029426
CD4 Naive T,0,0,3,0,21,6.3735527125634555,-4.799558695037025
CD8 T,4,0,0,0,74,2.403656634453714,-0.7219010550567084
CD14 Mono,25,0,0,0,95,-7.4349070461950895,-9.152041967589515
CD4 Naive T,4,0,0,0,23,7.214792164925516,-4.725383337218421
T activated,7,0,0,0,21,3.247668179634988,-3.1847725469657355
CD8 T,14,0,0,0,40,2.7821160880364775,-0.14569925852503124
CD8 T,1,0,0,0,43,1.9967600432671904,-1.481287058074134
Mk,3,0,0,0,63,5.449315461281717,-4.768634374816077
CD4 Naive T,5,0,0,0,40,8.999672326210916,-3.6621351797172004
T activated,7,0,0,0,31,0.3661970523633361,-3.0737402994224006
CD4 Naive T,2,0,0,0,47,7.8357462016381625,-4.595491941649573
CD14 Mono,41,0,0,0,102,-8.754172888632834,-7.067874963957923
T activated,3,0,0,0,25,0.5193056193627715,-3.581997926909583
CD8 T,2,0,0,0,46,5.09106484330076,-2.2502658922263556
CD4 Memory T,4,0,0,0,59,7.933879288796366,-3.183461244780677
CD4 Naive T,0,0,0,0,22,8.17312279618162,-3.414308365065711
B Activated,4,0,0,0,37,3.230441960457742,8.796564523499352
CD4 Naive T,4,0,0,0,39,8.430730256203592,-4.404387052733558
CD14 Mono,32,0,0,0,85,-7.988356200095236,-8.024324472624915
CD14 Mono,7,0,0,0,42,-5.567995158072531,-9.929831083495277
CD8 T,2,0,0,0,61,5.079748067025125,-2.693513448912757
B,4,0,0,0,40,4.585842045906961,8.179284517090661
B Activated,5,0,0,0,86,3.6916195479668974,8.290941659729821
CD4 Memory T,0,0,0,0,38,6.351778420571268,-2.5734918672629767
CD14 Mono,38,2,0,0,117,-7.470940676566183,-7.318564947325843
CD4 Naive T,2,0,0,0,35,6.862692269448221,-4.129029806334632
DC,55,0,0,0,74,-6.314712134238302,-5.496780927855628
T activated,2,0,0,0,24,0.41349074519056084,-3.420559938628333
CD16 Mono,20,0,0,0,94,-9.030390349265158,-2.3090522844382697
CD14 Mono,15,1,0,0,50,-5.086064902182638,-9.55532127209391
CD14 Mono,13,1,0,0,56,-6.792260256644308,-9.679369505126136
NK,1,1,0,0,45,1.9165348140038847,-0.7112338501998359
B,1,0,0,0,21,6.069926175240457,7.924870912354333
CD16 Mono,28,0,0,0,76,-8.336350050803244,-3.7882011491843635
NK,1,0,0,0,34,1.5985277024545073,0.7948980372360772
CD4 Memory T,5,0,0,0,56,5.160434159401834,-4.383088167388099
CD4 Memory T,1,0,0,0,23,4.415564450386942,-2.3098214227744513
CD14 Mono,2,0,0,0,44,-6.479138460990011,-9.16957908459391
CD4 Memory T,2,0,0,0,36,6.02355471527952,-3.892569835860389
CD4 Naive T,8,0,0,0,48,6.549201401833475,-5.059441621977943
NK,3,0,0,0,39,1.5478840199746489,0.8832230012825555
CD8 T,0,0,0,0,39,2.708676013115823,-0.6829711157866889
CD4 Naive T,1,0,0,0,37,5.8700269786157016,-4.644866045195716
CD14 Mono,17,0,0,0,106,-6.876822081442892,-8.053130682189124
CD14 Mono,25,1,0,0,58,-6.782925215598166,-9.701522405821937
CD4 Naive T,0,0,0,0,56,7.098104867104471,-3.5472136098929816
CD4 Memory T,1,0,0,0,32,5.156978520516336,-3.5388377267905646
CD14 Mono,37,5,0,0,64,-8.112030592795431,-5.780472334105628
CD4 Naive T,0,0,0,0,47,7.724942120675028,-4.39829355068888
CD14 Mono,9,4,0,0,66,-4.988464918967306,-9.740839536864417
Mk,0,0,0,0,58,4.312150391701639,-6.256451662261146
CD14 Mono,25,0,0,0,111,-7.443595496054709,-8.474096830565589
CD16 Mono,50,2,0,0,118,-9.204426375266134,-2.4499896127768928
CD14 Mono,22,0,0,0,76,-5.647369948264181,-8.440732534606116
CD4 Naive T,8,0,0,0,37,7.4454053965844516,-4.772327001769202
B,2,0,0,0,50,5.914329918984354,7.976086084168298
CD8 T,4,0,0,0,58,0.7115243998803497,0.8686857860497064
CD16 Mono,20,2,0,0,110,-9.101484862204611,-2.443360622603553
CD8 T,5,0,0,0,72,5.697721871499002,-2.481979902465003
CD4 Memory T,7,0,0,0,43,4.995851906899393,-3.3162198621818
CD16 Mono,64,0,0,0,94,-8.881841269370138,-4.653859670836585
CD14 Mono,18,2,0,0,47,-5.212507334586203,-8.725084837157386
Mk,21,1,0,0,83,-8.712963667746603,-5.967098291594642
CD16 Mono,14,0,0,0,45,-7.778653231497824,-3.035384948928016
B,1,0,0,0,41,5.886112126473368,7.967501107972009
T activated,1,0,0,0,22,3.106852683190286,-2.7706838209220344
CD16 Mono,24,0,0,0,70,-8.012473669882834,-2.9401970464774543
CD4 Memory T,2,0,0,0,37,6.572666081551493,-4.0001223642417365
B Activated,12,0,0,0,84,2.7578569976128935,8.628499452393395
CD4 Memory T,2,0,0,0,40,7.889700326088846,-3.8154633600303107
CD14 Mono,70,0,0,0,49,-6.7756944569311734,-6.064935739714759
CD14 Mono,30,0,0,0,124,-9.20359953963381,-6.58544069119181
CD16 Mono,37,3,0,0,96,-9.364557829733908,-2.8744323808738166
CD14 Mono,35,0,0,0,78,-9.140778151389181,-6.430780466277259
T activated,2,0,0,0,42,0.4381544319428802,-4.166575964171546
CD16 Mono,13,1,0,0,88,-9.084593382712423,-2.419583376128333
CD14 Mono,29,0,0,0,43,-7.365387526389181,-8.654386099059241
DC,43,0,0,0,126,-6.414051142569601,-5.480947073180335
CD4 Naive T,1,0,0,0,61,4.497749718789041,-3.8348558504172736
CD4 Memory T,0,0,0,0,55,5.736466321114481,-3.493033941466468
CD14 Mono,47,0,0,0,104,-7.679400053855002,-5.810473020751136
CD14 Mono,23,0,0,0,94,-8.286627379294455,-6.420528467375892
CD14 Mono,19,1,0,0,81,-7.055369940634787,-7.8180332738944465
CD14 Mono,26,1,0,0,64,-7.685658541556418,-5.806691702086585
CD4 Memory T,0,0,0,0,52,6.58201304352659,-2.778192814070838
CD14 Mono,26,0,0,0,86,-8.78256854140383,-5.9095297414847785
CD4 Memory T,1,0,0,0,27,5.410850915078104,-2.406572635848182
CD14 Mono,20,0,0,0,38,-4.87661561095339,-10.066044386107581
NK,2,1,0,0,32,2.4269286719598173,0.3736574690750664
B,5,0,0,0,31,5.220760258797586,8.040011827271325
B,5,0,0,0,32,6.193095120552957,7.34659809283529
CD14 Mono,28,0,0,0,94,-8.116625395651877,-7.039716299254554
Mk,2,0,0,0,27,6.313240441445291,-5.028441961485999
CD16 Mono,44,2,0,0,225,-9.375959959860861,-3.826760585982459
CD8 T,3,0,0,0,41,4.29536810791868,-2.1303873617240363
B,5,0,0,0,55,7.0055507746972445,7.634272043030602
CD14 Mono,8,0,0,0,51,-6.993902769919455,-9.888866956908362
CD4 Naive T,1,0,0,0,28,7.393811139229715,-3.880609567839759
CD14 Mono,24,0,0,0,39,-7.293057528372824,-9.675245817381995
NK,3,0,0,0,50,1.9876853553094267,0.305628065388543
CD14 Mono,11,1,0,0,108,-8.244677153464377,-7.078366811949866
CD4 Memory T,2,0,0,0,53,7.530251416329325,-2.7629697877952033
CD16 Mono,8,1,1,0,26,-8.063731280203879,-3.8590822774955207
CD14 Mono,20,0,0,0,151,-8.551079359885275,-7.165838297087806
CD14 Mono,14,0,0,0,59,-5.689155188437521,-9.84330612011637
CD14 Mono,23,1,0,0,97,-5.095517722006857,-8.353393133361
CD14 Mono,16,0,0,0,60,-5.11516770445925,-8.291063841063636
CD4 Memory T,1,0,0,0,29,9.006408127907694,-3.6005294878074103
CD14 Mono,29,0,0,0,66,-8.007997122641623,-7.241606291014808
CD14 Mono,10,0,0,0,63,-9.02619704329592,-7.860481794554847
DC,47,0,0,0,122,-5.758112517233908,-4.888231809813636
CD4 Naive T,4,0,0,0,37,7.700115117196024,-4.148000772673743
B,3,0,0,0,34,6.001936825875223,8.053408090393884
pDC,4,0,1,0,59,-1.886550989981711,-1.409331615645545
CD4 Naive T,4,0,0,0,35,6.658274087075174,-5.071919496733802
CD14 Mono,49,2,0,0,176,-8.831085768576681,-5.899961527068275
CD14 Mono,22,1,0,0,137,-8.512819853659689,-5.832872446257728
CD8 T,1,0,0,3,12,3.4898604480065702,-1.005585964400428
CD4 Memory T,4,0,0,0,54,6.18749514496702,-2.8404045660087043
CD16 Mono,20,1,0,0,59,-8.676314917441427,-3.9026375372001105
CD4 Memory T,6,0,0,0,37,8.246659669045389,-4.096974905211585
CD8 T,0,0,0,0,37,2.2541686621941923,-0.11062507667030634
T activated,4,0,0,0,95,0.39703813469785454,-3.0589180547782355
CD4 Naive T,1,0,0,0,35,7.5784477320947055,-3.2008452970572883
CD14 Mono,43,0,0,0,79,-7.636691180106222,-8.029995496947425
CD4 Memory T,3,0,0,0,71,6.408022317055643,-4.016666706282752
CD14 Mono,29,0,0,0,62,-7.700188246604025,-7.6394620496818
CD14 Mono,11,1,0,0,49,-6.8057661923132535,-6.8877635557242805
CD14 Mono,13,0,0,0,96,-8.847744551535666,-7.862301881987708
CD14 Mono,20,0,0,0,85,-6.089984980460226,-7.162328298766273
CD4 Naive T,1,0,0,0,44,7.422848614815653,-3.720042284209388
CD4 Naive T,2,0,0,0,59,7.913122567299784,-4.02201181240763
CD4 Memory T,1,0,0,0,29,6.108890923623026,-2.804264124114173
B Activated,10,0,0,0,71,4.221594723824442,8.218610231201989
