identity,ACTB,IFITM3,CD4,IFNG,B2M,umap_1,umap_2
Naive CD4 T,17,0,0,0,76,1.9933855163858745,-4.8490890708394305
B,28,0,0,0,75,5.774331040959201,13.372854307609055
Memory CD4 T,30,0,0,0,69,3.9618405777023646,-8.431459352058914
FCGR3A+ Mono,14,4,0,0,41,-10.068600706477323,5.155409887748216
NK,21,0,0,1,35,6.076991506199679,0.17528601022288615
Memory CD4 T,17,0,0,0,57,2.1394431072281215,-7.045696183723952
CD8 T,3,0,0,0,44,3.384693093876681,-3.6035017219014422
CD8 T,11,0,0,0,53,3.868647761921725,-4.263047143501784
CD8 T,8,0,0,0,40,2.316344864945254,-2.9057292190022723
FCGR3A+ Mono,0,1,0,0,33,-11.036343626399198,5.497129991965745
B,35,0,0,0,63,5.929804273228488,13.509500578361008
Naive CD4 T,11,0,0,0,26,0.20953471241458388,-5.86832325128987
Memory CD4 T,15,0,0,1,41,1.6292869972990367,-6.473584577126052
CD14+ Mono,34,6,0,0,69,-8.001013807673612,5.543460443931077
CD8 T,2,0,0,0,24,1.9186777400778148,-3.0540398803181903
Naive CD4 T,2,0,0,0,12,0.20016057072146864,-3.517417832893874
CD14+ Mono,8,0,0,0,24,-8.3817329925491,7.944356516318773
CD8 T,23,0,0,0,33,3.3956509309814784,-3.295499249977614
CD14+ Mono,55,6,0,0,53,-8.749022535700956,4.464944199042772
Memory CD4 T,8,0,0,0,65,2.775709815602145,-8.093470498604324
B,21,0,0,0,118,5.461147256474337,13.328850820975754
B,3,0,0,0,10,7.70288557587131,11.621559217887375
B,4,0,0,0,57,5.967739053349337,13.410945967154953
Naive CD4 T,4,0,0,0,19,-0.1143764776183751,-2.996952458900954
CD14+ Mono,23,0,0,0,28,-7.602467588801542,7.482304647880052
B,10,0,0,0,26,6.4609083610580775,12.965513304191086
Naive CD4 T,5,0,0,0,13,-0.2093825859023717,-3.47326128153279
Naive CD4 T,9,0,0,0,33,-0.5777841133071568,-6.4349889007039325
FCGR3A+ Mono,43,1,1,0,54,-11.762867025752225,3.6297813210062726
Naive CD4 T,11,0,0,0,42,-0.9065728706313756,-7.285196229500319
Memory CD4 T,6,0,1,0,70,3.7857050376938197,-6.156585141701247
FCGR3A+ Mono,34,7,0,0,79,-12.015242628474393,4.027267292457078
Naive CD4 T,9,0,0,0,19,1.4930209296749446,-3.1496280875630633
B,4,0,0,0,9,8.477733083348117,11.868155554252121
CD14+ Mono,26,2,0,0,26,-8.416449598689237,6.097903803306077
Memory CD4 T,8,0,0,0,47,2.4825774508522365,-7.585823937935378
CD14+ Mono,28,7,2,0,87,-8.304690412898221,4.900646284537767
Naive CD4 T,9,0,0,0,33,1.338332809786639,-4.131193086189772
CD14+ Mono,10,4,0,0,18,-7.646111540217557,7.600334242301439
FCGR3A+ Mono,38,12,0,0,70,-10.485194258113065,4.776703670936082
Naive CD4 T,12,0,0,0,71,0.7915093380020473,-5.385711595100905
CD8 T,10,10,0,0,63,5.895584531407199,-1.1269532885976095
CD8 T,12,1,0,0,46,3.599964089970431,-3.6903371062703387
Memory CD4 T,15,0,0,0,128,3.4261425214813563,-4.872614785713698
Naive CD4 T,7,0,1,0,16,-1.0442369502975133,-5.47531788019612
Naive CD4 T,10,0,0,0,44,0.14208204327090712,-8.100006982368972
Naive CD4 T,38,0,0,0,38,0.432846136669955,-7.485752984566237
Memory CD4 T,26,0,0,0,51,3.1763030963943812,-7.143521234077956
Naive CD4 T,7,0,0,0,43,-1.005809835810819,-5.395902558846022
CD14+ Mono,13,6,0,0,35,-8.10015683593289,5.990790441947435
Naive CD4 T,7,0,0,0,67,-0.7727292102767613,-4.633105680031325
FCGR3A+ Mono,47,7,0,0,49,-11.802815489192167,4.1727827343516095
CD14+ Mono,3,3,0,0,0,-9.298584989924588,8.627687052207444
FCGR3A+ Mono,70,4,3,0,106,-10.8791113418533,3.8065839561991437
FCGR3A+ Mono,129,8,0,0,77,-10.891024641413846,4.195082024054979
Naive CD4 T,11,0,0,0,76,0.5219649749801967,-6.652633115334059
Naive CD4 T,6,0,0,0,49,1.1416530090378139,-7.741413041634108
B,17,0,0,0,28,6.758334107975802,13.223124578910324
CD14+ Mono,17,0,0,0,22,-8.50225644530789,6.567746237235521
Memory CD4 T,17,0,0,0,72,3.4034482914017055,-8.897760316414383
CD14+ Mono,24,0,0,0,75,-8.078580908198514,4.647958353476976
CD14+ Mono,71,3,1,0,80,-8.952550939936796,4.235136345344041
Naive CD4 T,7,0,0,0,29,-0.023442797084012312,-5.87001888422444
Naive CD4 T,2,0,0,0,27,-1.2060680908157018,-6.277894422096755
NK,11,0,0,0,46,6.184183068852267,-0.211318060440566
FCGR3A+ Mono,20,5,0,0,35,-11.023067526240506,4.969136074500535
Naive CD4 T,12,0,0,0,43,0.014266200642428117,-7.093438073677565
FCGR3A+ Mono,62,9,0,0,78,-11.194688848872342,3.77533228726909
Memory CD4 T,7,0,1,0,58,3.104866810421786,-6.714726373238112
Memory CD4 T,17,0,1,0,73,1.6413524079130504,-6.171421453041579
Naive CD4 T,2,0,0,0,34,-1.0590076965285924,-5.588662072701003
