SYMBOL,baseMean,log2FoldChange,pvalue,padj
BNC2,374.2118692,5.610523792,5.82E-17,1.20E+01
LGR6,225.6531443,5.237833903,1.70E-14,9.88E+00
CD6,234.9146733,4.530538516,1.10E-10,6.37E+00
SYNE2,4391.094254,2.949612312,1.09E-10,6.37E+00
PTGDS,346.7183409,5.221607982,3.45E-10,5.97E+00
FGFBP2,864.6604352,3.878659829,1.09E-09,5.55E+00
PTCH1,284.0989363,4.917791303,4.57E-09,5.00E+00
PCDH1,90.20530412,4.76905508,5.81E-09,4.95E+00
CAPN5,75.37357631,6.297725865,1.16E-08,4.70E+00
PDGFRB,193.1160472,6.240592276,1.61E-08,4.60E+00
IKZF3,722.1569043,2.60046376,2.11E-08,4.56E+00
SPON2,1400.701096,3.279824533,2.11E-08,4.56E+00
RNA5.8SN3,68.94846439,21.33401509,2.58E-08,4.51E+00
CYP4F29P,427.0079761,3.807288824,3.03E-08,4.47E+00
GRK5,123.496501,3.390386001,4.50E-08,4.33E+00
ENSG00000291280,203.5688465,4.284114633,4.97E-08,4.32E+00
HAPLN3,159.8908111,-4.983637968,9.90E-08,4.05E+00
ARVCF,191.5856509,3.061193769,1.03E-07,4.05E+00
ZFYVE28,240.6856538,3.371457826,1.25E-07,3.99E+00
GNAL,96.36532378,3.362032851,1.50E-07,3.95E+00
ACSL6,65.95275948,-5.750548346,2.86E-07,3.69E+00
DAB2,122.6026013,4.777692024,3.78E-07,3.59E+00
ANKRD20A11P,148.5526229,3.85451202,5.14E-07,3.48E+00
SLC1A7,40.20869726,7.875562345,6.26E-07,3.41E+00
CXCR2,53.80940147,4.868426513,7.68E-07,3.34E+00
PRSS23,403.7848267,3.266825961,1.25E-06,3.14E+00
GNG2,1264.920607,2.841230735,1.32E-06,3.14E+00
MTSS1,479.0357316,3.467893604,1.40E-06,3.13E+00
TIAM1,162.2278592,-4.004520581,1.75E-06,3.04E+00
AKR1C3,67.02319516,4.599782231,2.04E-06,2.991494361
FGFR1,122.8306058,4.15381847,2.20E-06,2.970967859
FAM53B,1279.014487,2.883230416,2.44E-06,2.95323451
PODN,44.53120641,5.05747538,2.66E-06,2.944497056
PATJ,106.1798462,-2.665151073,2.71E-06,2.944497056
MIR646HG,133.5280465,3.750330918,2.61E-06,2.944497056
DOCK7,110.9103049,-4.754661045,3.42E-06,2.887547833
CCL4,682.7506331,4.442085301,3.37E-06,2.887547833
CD44,1792.950533,-3.1609727,3.41E-06,2.887547833
ENSG00000234261,37.4056159,-5.971982278,5.74E-06,2.683592433
SPON2.AS1,46.38921309,3.156202989,7.59E-06,2.582141019
KIR2DL1,136.6881425,4.227928698,1.01E-05,2.47555013
DUSP4,58.76665574,-4.341488596,1.08E-05,2.456642298
RUNX2,116.3493567,-4.273269636,1.26E-05,2.407093331
PALLD,79.25752205,3.917233239,1.45E-05,2.373072449
FCGR3A,930.9267437,3.09994233,1.42E-05,2.373072449
S1PR5,1541.794642,2.919574906,1.58E-05,2.341494934
CX3CR1,224.1201096,3.691088992,1.84E-05,2.285754676
LAX1,114.0266708,2.547127395,1.92E-05,2.273963485
ERBB2,197.0951488,2.932358795,2.39E-05,2.202218952
TNFRSF1B,1488.812133,2.077717226,2.65E-05,2.164244258
FEZ1,101.876792,3.854296168,3.14E-05,2.103988462
HES6,39.52641837,3.570656465,3.47E-05,2.089194126
CCDC141,53.11016531,-3.827025031,3.37E-05,2.089194126
EPB41L4A,56.7358616,6.111416349,3.33E-05,2.089194126
CELSR2,82.78124622,3.077857177,3.43E-05,2.089194126
