age,individual,single.cell.well.quality,post.analysis.well.quality,single.cell.quality,CD69protein,CD25protein,CD44protein,CD62Lprotein,sorting.plate.well,sequencing.plate.well,peptide,time,sizeFactor,Cd69,Il2ra (CD25),Cd44,Sell (CD62L)
25,1,OK,pass,OK,0.3,0.3,0.78,3.62,Plate 3 A1,Plate 3 A1, G4,6,0.5491145919787727,9.06,3.05,0,4.51
25,1,OK,pass,OK,2.9,1.91,1.45,2.87,Plate 3 A2,Plate 3 A2, G4,6,0.6850773621102756,6.06,7.03,5.17,9.99
25,1,OK,pass,OK,0,0.48,1.88,3.44,Plate 3 A3,Plate 3 A3, G4,6,0.7427098808278191,8.69,6.15,2.33,9.97
25,1,OK,pass,OK,3.17,2.22,0,2.43,Plate 3 A4,Plate 3 A4, G4,6,0.6848969504066678,3.29,7.06,1.3,3.66
25,1,OK,pass,OK,1.98,1.15,1.04,3.12,Plate 3 A5,Plate 3 A5, G4,6,0.9985968206400828,9.12,1.59,0,3.91
25,1,OK,pass,OK,2.33,0.48,1.4,3.15,Plate 3 A6,Plate 3 A6, G4,6,1.1512251218923655,8.21,1.85,0.9,2.99
25,1,OK,pass,OK,2.8,1.77,1.26,3.02,Plate 3 A7,Plate 3 A7, G4,6,1.4099941386697654,6.87,4.98,0,7.16
25,1,OK,pass,OK,2.87,0.7,1.61,2.97,Plate 3 A8,Plate 3 A8, G4,6,1.6161099997492,0.69,3.36,0,7.71
25,1,OK,pass,OK,1.62,0.48,0,3.52,Plate 3 A9,Plate 3 A9, G4,6,1.0232681211084633,7.66,0.98,0.98,3.97
25,1,OK,pass,OK,0.3,0.9,1.3,3.52,Plate 3 A10,Plate 3 A10, G4,6,0.5672143961432351,6.33,1.47,0,4.08
25,1,OK,pass,OK,2.75,1.98,1.38,3.35,Plate 3 A11,Plate 3 A11, G4,6,1.8232091046132979,9.16,7.12,0.63,10.5
25,1,OK,pass,OK,2.77,2.12,1.66,2.91,Plate 3 A12,Plate 3 A12, G4,6,0.9065237077037914,7.13,7.84,6.62,6.21
