age,individual,single.cell.well.quality,post.analysis.well.quality,single.cell.quality,CD69.measurement..log10.,CD25.measurement..log10.,CD44.measurement..log10.,CD62L.measurement..log10.,sorting.plate.well,sequencing.plate.well,stimulus,time,sizeFactor
25,1,OK,pass,OK,0.301029995663981,0.301029995663981,0.778151250383644,3.6200318951263,Plate 3 A1,Plate 3 A1,peptide G4,6,0.5491145919787725
25,1,OK,pass,OK,2.90200289135073,1.90848501887865,1.44715803134222,2.86746748785905,Plate 3 A2,Plate 3 A2,peptide G4,6,0.6850773621102755
25,1,OK,pass,OK,0,0.477121254719662,1.8750612633917,3.44138088491651,Plate 3 A3,Plate 3 A3,peptide G4,6,0.742709880827819
25,1,OK,pass,OK,3.17435059747938,2.22010808804005,0,2.4345689040342,Plate 3 A4,Plate 3 A4,peptide G4,6,0.6848969504066676
25,1,OK,pass,OK,1.98227123303957,1.14612803567824,1.04139268515823,3.123198075032,Plate 3 A5,Plate 3 A5,peptide G4,6,0.9985968206400827
25,1,OK,pass,OK,2.32633586092875,0.477121254719662,1.39794000867204,3.15106325335375,Plate 3 A6,Plate 3 A6,peptide G4,6,1.1512251218923653
25,1,OK,pass,OK,2.79934054945358,1.77085201164214,1.25527250510331,3.01703333929878,Plate 3 A7,Plate 3 A7,peptide G4,6,1.4099941386697652
25,1,OK,pass,OK,2.8733206018154,0.698970004336019,1.61278385671974,2.97173959088778,Plate 3 A8,Plate 3 A8,peptide G4,6,1.6161099997491999
25,1,OK,pass,OK,1.6232492903979,0.477121254719662,0,3.51851393987789,Plate 3 A9,Plate 3 A9,peptide G4,6,1.023268121108463
25,1,OK,pass,OK,0.301029995663981,0.903089986991944,1.30102999566398,3.52244423350632,Plate 3 A10,Plate 3 A10,peptide G4,6,0.567214396143235
25,1,OK,pass,OK,2.75127910398334,1.97772360528885,1.38021124171161,3.34849957028384,Plate 3 A11,Plate 3 A11,peptide G4,6,1.8232091046132977
25,1,OK,pass,OK,2.76566855475901,2.11727129565576,1.66275783168157,2.90741136077459,Plate 3 A12,Plate 3 A12,peptide G4,6,0.9065237077037913
25,1,OK,pass,OK,2.52633927738984,1,1.50514997831991,3.2895889525426,Plate 3 B1,Plate 3 B1,peptide G4,6,0.6710593727399418
25,1,OK,pass,OK,1.7160033436348,1.81291335664286,0,3.51600623038605,Plate 3 B2,Plate 3 B2,peptide G4,6,0.9842225181551233
25,1,OK,pass,OK,2.91539983521227,2.44090908206522,1.99563519459755,2.66931688056611,Plate 3 B3,Plate 3 B3,peptide G4,6,2.5062838968135255
25,1,OK,pass,OK,3.12483014941386,1.80617997398389,0.698970004336019,3.23401081758718,Plate 3 B4,Plate 3 B4,peptide G4,6,0.7138304773727844
25,1,OK,pass,OK,2.94398887507377,1.63346845557959,0,3.04766419460156,Plate 3 B5,Plate 3 B5,peptide G4,6,1.1195087443980967
25,1,OK,pass,OK,1.11394335230684,0.477121254719662,0.301029995663981,2.89652621748956,Plate 3 B6,Plate 3 B6,peptide G4,6,0.8354911097007713
25,1,OK,pass,OK,2.96284268120124,2.25285303097989,1.57978359661681,2.70500795933334,Plate 3 B7,Plate 3 B7,peptide G4,6,2.261433642969475
25,1,OK,pass,OK,3.02325245963371,1.64345267648619,1.30102999566398,2.84695532501982,Plate 3 B8,Plate 3 B8,peptide G4,6,2.5270628147765652
25,1,OK,pass,OK,3.13417710757677,2.35218251811136,0,2.987219229908,Plate 3 B9,Plate 3 B9,peptide G4,6,2.363023473271083
25,1,OK,pass,OK,3.1102529173534,2.01703333929878,0,2.79934054945358,Plate 3 B10,Plate 3 B10,peptide G4,6,1.0085510363866486
25,1,OK,pass,OK,1.20411998265592,0.698970004336019,0,3.23401081758718,Plate 3 B11,Plate 3 B11,peptide G4,6,0.718936128584888
25,1,OK,pass,OK,0,0.301029995663981,1.38021124171161,3.17983892802319,Plate 3 B12,Plate 3 B12,peptide G4,6,1.2923657079174151
25,1,OK,pass,OK,0,0,2.01703333929878,3.66810623793273,Plate 3 C1,Plate 3 C1,peptide NP68,6,0.512856349846175
25,1,OK,pass,OK,1.20411998265592,0.477121254719662,0.602059991327962,3.30984300471607,Plate 3 C2,Plate 3 C2,peptide NP68,6,0.5503955150743886
25,1,OK,pass,OK,0,0.477121254719662,1.51851393987789,3.04453976039241,Plate 3 C3,Plate 3 C3,peptide NP68,6,0.7227788978717363
25,1,OK,pass,OK,0,0.602059991327962,0.602059991327962,3.53617953213723,Plate 3 C4,Plate 3 C4,peptide NP68,6,0.7942489942560055
25,1,OK,pass,OK,1.39794000867204,0.477121254719662,1.79934054945358,3.63898815934368,Plate 3 C5,Plate 3 C5,peptide NP68,6,1.089957307347123
25,1,OK,pass,OK,0.778151250383644,0.477121254719662,1.72427586960079,3.25090769970086,Plate 3 C6,Plate 3 C6,peptide NP68,6,0.41087863438180994
25,1,OK,pass,OK,0,1,1.47712125471966,3.42586014507784,Plate 3 C7,Plate 3 C7,peptide NP68,6,2.0524762975582163
25,1,OK,pass,OK,1.17609125905568,0.477121254719662,0,3.22762964957101,Plate 3 C8,Plate 3 C8,peptide NP68,6,1.2608522935897053
25,1,OK,pass,OK,0,0.602059991327962,0.301029995663981,3.46239799789896,Plate 3 C9,Plate 3 C9,peptide NP68,6,1.564787380365343
25,1,OK,pass,OK,0.301029995663981,0.698970004336019,0,3.45954325828041,Plate 3 C10,Plate 3 C10,peptide NP68,6,0.7056082139808544
25,1,OK,pass,OK,0.954242509439325,1.07918124604762,0.301029995663981,3.14643813528577,Plate 3 C11,Plate 3 C11,peptide NP68,6,0.9315513212867971
25,1,OK,pass,OK,1.32221929473392,0,0.477121254719662,3.28735377271475,Plate 3 C12,Plate 3 C12,peptide NP68,6,0.4947385045113517
25,1,OK,pass,OK,0,0.602059991327962,0.698970004336019,3.27623195792183,Plate 3 D1,Plate 3 D1,peptide NP68,6,0.43933407033336586
25,1,OK,pass,OK,2.25285303097989,1.11394335230684,2.02118929906994,2.32633586092875,Plate 3 D2,Plate 3 D2,peptide NP68,6,0.7807677297039053
25,1,OK,pass,OK,0.698970004336019,0,0.778151250383644,3.18836592606315,Plate 3 D3,Plate 3 D3,peptide NP68,6,1.0558279233170986
25,1,OK,pass,OK,1.8750612633917,1.57978359661681,1.11394335230684,3.06707085604537,Plate 3 D4,Plate 3 D4,peptide NP68,6,1.1268560110275283
25,1,OK,pass,OK,1.9731278535997,1.43136376415899,1.50514997831991,3.11826472608948,Plate 3 D5,Plate 3 D5,peptide NP68,6,1.7033210172732585
25,1,OK,pass,OK,0,0,0.698970004336019,3.37162192717602,Plate 3 D6,Plate 3 D6,peptide NP68,6,0.33357672967841534
25,1,OK,pass,OK,0.778151250383644,0.301029995663981,1,3.58512218630682,Plate 3 D7,Plate 3 D7,peptide NP68,6,0.9234102431614907
25,1,OK,pass,OK,0,0.602059991327962,0.778151250383644,3.17143390094301,Plate 3 D8,Plate 3 D8,peptide NP68,6,0.6650020497913065
25,1,OK,pass,OK,0,0.301029995663981,0.477121254719662,3.45347123372294,Plate 3 D9,Plate 3 D9,peptide NP68,6,1.2523954949830851
25,1,OK,pass,OK,0.845098040014257,0.602059991327962,0,3.10687054447865,Plate 3 D10,Plate 3 D10,peptide NP68,6,1.207175301473765
25,1,OK,pass,OK,0,0.778151250383644,1.04139268515823,3.64187054547631,Plate 3 D11,Plate 3 D11,peptide NP68,6,0.7137989053246531
25,1,OK,pass,OK,0,0.301029995663981,1.17609125905568,3.01494034979294,Plate 3 D12,Plate 3 D12,peptide NP68,6,0.973524104131175
25,1,OK,pass,OK,2.75966784468963,2.09691001300806,1.61278385671974,2.71516735784846,Plate 3 E1,Plate 3 E1,peptide N4,6,0.6760703078076511
25,1,OK,pass,OK,3.13097669160562,2.54654266347813,1.5440680443502799,2.60097289568675,Plate 3 E2,Plate 3 E2,peptide N4,6,1.4489360048935305
25,1,OK,pass,OK,3.00130093302042,2.49692964807321,1.2304489213782701,1.94448267215017,Plate 3 E3,Plate 3 E3,peptide N4,6,0.58217503666492
25,1,OK,pass,OK,3.4367985102318,2.51188336097887,2.04921802267018,1.98677173426624,Plate 3 E4,Plate 3 E4,peptide N4,6,1.5642732070100602
25,1,OK,pass,OK,3.36153897126928,2.32014628611105,0,2.2148438480477,Plate 3 E5,Plate 3 E5,peptide N4,6,2.5287045612793975
